Unique.ID,sl_micron,mean_age,Cruise,DAY,MONTH,YEAR,HAUL_ID,HAUL_NAME,capdate,hatch.date,hatch.date.noYear,hdate,measured_sl_micron,station
202,7611.2391,31,DY19-05,6,5,2019,DY19-05 1 2 60BON 1,2,5/6/2019,4/5/2019,5-Apr,95,6783,1
25,6166.4608,8.33,DY15-05,16,5,2015,DY15-05 3 1 60BON 1,1,5/16/2015,5/7/2015,7-May,127,5404,3
164,6326.7589,13.5,4DY09,28,5,2009,4DY09 3 1 60BON 1,1,5/28/2009,5/14/2009,14-May,134,5557,3
111,6863.1813,13,3DY10,23,5,2010,3DY10 3 1 60BON 1,1,5/23/2010,5/10/2010,10-May,130,6069,3
163,7503.326,12.67,4DY09,28,5,2009,4DY09 3 1 60BON 1,1,5/28/2009,5/15/2009,15-May,135,6680,3
162,9603.9645,20.67,4DY09,28,5,2009,4DY09 3 1 60BON 1,1,5/28/2009,5/7/2009,7-May,127,8685,3
90,6186.3671,10.5,DY13-06,17,5,2013,DY13-06 4 1 60BON 1,1,5/17/2013,5/6/2013,6-May,126,5423,4
89,6926.0433,12,DY13-06,17,5,2013,DY13-06 4 1 60BON 1,1,5/17/2013,5/5/2013,5-May,125,6129,4
92,7301.1199,15.5,DY13-06,17,5,2013,DY13-06 4 1 60BON 1,1,5/17/2013,5/1/2013,1-May,121,6487,4
91,7466.6565,18.5,DY13-06,17,5,2013,DY13-06 4 1 60BON 1,1,5/17/2013,4/28/2013,28-Apr,118,6645,4
8,9483.479,27,4MF06,22,5,2006,4MF06 4 1 60BON 1,1,5/22/2006,4/25/2006,25-Apr,115,8570,4
93,9580.9151,24.67,DY13-06,17,5,2013,DY13-06 4 1 60BON 1,1,5/17/2013,4/22/2013,22-Apr,112,8663,4
7,10418.0274,20,4MF06,22,5,2006,4MF06 4 1 60BON 1,1,5/22/2006,5/2/2006,2-May,122,9462,4
214,7489.7059,14,DY19-05,6,5,2019,DY19-05 5 1 60BON 1,1,5/6/2019,4/22/2019,22-Apr,112,6667,5
215,7732.7723,19,DY19-05,6,5,2019,DY19-05 5 1 60BON 1,1,5/6/2019,4/17/2019,17-Apr,107,6899,5
13,9073.8283,21.5,4MF06,22,5,2006,4MF06 5 1 60BON 1,1,5/22/2006,4/30/2006,30-Apr,120,8179,5
213,9186.9799,27.5,DY19-05,6,5,2019,DY19-05 5 1 60BON 1,1,5/6/2019,4/8/2019,8-Apr,98,8287,5
10,9716.0684,23,4MF06,22,5,2006,4MF06 5 1 60BON 1,1,5/22/2006,4/29/2006,29-Apr,119,8792,5
14,10316.4005,29,4MF06,22,5,2006,4MF06 5 1 60BON 1,1,5/22/2006,4/23/2006,23-Apr,113,9365,5
11,10994.2624,34.67,4MF06,22,5,2006,4MF06 5 1 60BON 1,1,5/22/2006,4/17/2006,17-Apr,107,10012,5
12,11237.3288,33,4MF06,22,5,2006,4MF06 5 1 60BON 1,1,5/22/2006,4/19/2006,19-Apr,109,10244,5
168,4900.8392,12,4DY09,28,5,2009,4DY09 6 1 60BON 1,1,5/28/2009,5/16/2009,16-May,136,4196,6
169,6004.0673,12.33,4DY09,28,5,2009,4DY09 6 1 60BON 1,1,5/28/2009,5/15/2009,15-May,135,5249,6
204,7439.4163,17.5,DY19-05,6,5,2019,DY19-05 6 1 60BON 1,1,5/6/2019,4/18/2019,18-Apr,108,6619,6
166,7609.1437,13.5,4DY09,28,5,2009,4DY09 6 1 60BON 1,1,5/28/2009,5/14/2009,14-May,134,6781,6
167,8715.5149,24.33,4DY09,28,5,2009,4DY09 6 1 60BON 1,1,5/28/2009,5/3/2009,3-May,123,7837,6
113,8733.3258,16,3DY10,23,5,2010,3DY10 6 1 60BON 1,1,5/23/2010,5/7/2010,7-May,127,7854,6
165,8858.0021,18.33,4DY09,28,5,2009,4DY09 6 1 60BON 1,1,5/28/2009,5/9/2009,9-May,129,7973,6
203,9457.2865,31.5,DY19-05,6,5,2019,DY19-05 6 1 60BON 1,1,5/6/2019,4/4/2019,4-Apr,94,8545,6
114,9575.6766,18.67,3DY10,23,5,2010,3DY10 6 1 60BON 1,1,5/23/2010,5/4/2010,4-May,124,8658,6
115,9659.4926,21.33,3DY10,23,5,2010,3DY10 6 1 60BON 1,1,5/23/2010,5/1/2010,1-May,121,8738,6
112,10027.2353,19.67,3DY10,23,5,2010,3DY10 6 1 60BON 1,1,5/23/2010,5/3/2010,3-May,123,9089,6
205,14596.255,47,DY19-05,7,5,2019,DY19-05 10 1 60BON 1,1,5/7/2019,3/21/2019,21-Mar,80,13450,10
55,10238.8707,22,4MF06,23,5,2006,4MF06 13 1 60BON 1,1,5/23/2006,5/1/2006,1-May,121,9291,13
56,10850.7275,30,4MF06,23,5,2006,4MF06 13 1 60BON 1,1,5/23/2006,4/23/2006,23-Apr,113,9875,13
57,12815.165,35.33,4MF06,23,5,2006,4MF06 13 1 60BON 1,1,5/23/2006,4/17/2006,17-Apr,107,11750,13
53,13233.1973,39,4MF06,23,5,2006,4MF06 13 1 60BON 1,1,5/23/2006,4/14/2006,14-Apr,104,12149,13
54,13969.7304,42.67,4MF06,23,5,2006,4MF06 13 1 60BON 1,1,5/23/2006,4/10/2006,10-Apr,100,12852,13
31,6428.3858,14.5,4MF06,23,5,2006,4MF06 14 1 60BON 1,1,5/23/2006,5/8/2006,8-May,128,5654,14
35,8587.6955,19,4MF06,23,5,2006,4MF06 14 1 60BON 1,1,5/23/2006,5/4/2006,4-May,124,7715,14
32,8663.1299,25.5,4MF06,23,5,2006,4MF06 14 1 60BON 1,1,5/23/2006,4/27/2006,27-Apr,117,7787,14
34,15066.6723,41.5,4MF06,23,5,2006,4MF06 14 1 60BON 1,1,5/23/2006,4/11/2006,11-Apr,101,13899,14
33,15872.3536,49,4MF06,23,5,2006,4MF06 14 1 60BON 1,1,5/23/2006,4/4/2006,4-Apr,94,14668,14
6,8790.9493,19,4MF06,23,5,2006,4MF06 15 1 60BON 1,1,5/23/2006,5/4/2006,4-May,124,7909,15
2,10058.6663,33,4MF06,23,5,2006,4MF06 15 1 60BON 1,1,5/23/2006,4/20/2006,20-Apr,110,9119,15
5,10060.7617,27.67,4MF06,23,5,2006,4MF06 15 1 60BON 1,1,5/23/2006,4/25/2006,25-Apr,115,9121,15
4,10231.5368,27,4MF06,23,5,2006,4MF06 15 1 60BON 1,1,5/23/2006,4/26/2006,26-Apr,116,9284,15
1,11880.6166,45.67,4MF06,23,5,2006,4MF06 15 1 60BON 1,1,5/23/2006,4/7/2006,7-Apr,97,10858,15
3,12270.361,36.33,4MF06,23,5,2006,4MF06 15 1 60BON 1,1,5/23/2006,4/16/2006,16-Apr,106,11230,15
84,7190.0637,11,DY13-06,18,5,2013,DY13-06 26 1 60BON 1,1,5/18/2013,5/7/2013,7-May,127,6381,26
86,8158.1385,12.5,DY13-06,18,5,2013,DY13-06 26 1 60BON 1,1,5/18/2013,5/5/2013,5-May,125,7305,26
87,8772.0907,21,DY13-06,18,5,2013,DY13-06 26 1 60BON 1,1,5/18/2013,4/27/2013,27-Apr,117,7891,26
85,9523.2916,17,DY13-06,18,5,2013,DY13-06 26 1 60BON 1,1,5/18/2013,5/1/2013,1-May,121,8608,26
88,10951.3067,31.5,DY13-06,18,5,2013,DY13-06 26 1 60BON 1,1,5/18/2013,4/16/2013,16-Apr,106,9971,26
172,8603.411,17,DY17-05,14,5,2017,DY17-05 28 1 60BON 1,1,5/14/2017,4/27/2017,27-Apr,117,7730,28
173,8925.0549,20.5,DY17-05,14,5,2017,DY17-05 28 1 60BON 1,1,5/14/2017,4/23/2017,23-Apr,113,8037,28
174,8934.4842,17.67,DY17-05,14,5,2017,DY17-05 28 1 60BON 1,1,5/14/2017,4/26/2017,26-Apr,116,8046,28
170,9698.2575,25,DY17-05,14,5,2017,DY17-05 28 1 60BON 1,1,5/14/2017,4/19/2017,19-Apr,109,8775,28
171,10246.2046,30,DY17-05,14,5,2017,DY17-05 28 1 60BON 1,1,5/14/2017,4/14/2017,14-Apr,104,9298,28
155,7158.6327,14.5,4DY09,29,5,2009,4DY09 29 1 60BON 1,1,5/29/2009,5/14/2009,14-May,134,6351,29
153,7637.4316,11.67,4DY09,29,5,2009,4DY09 29 1 60BON 1,1,5/29/2009,5/17/2009,17-May,137,6808,29
156,7647.9086,8,4DY09,29,5,2009,4DY09 29 1 60BON 1,1,5/29/2009,5/21/2009,21-May,141,6818,29
154,7792.4912,17.5,4DY09,29,5,2009,4DY09 29 1 60BON 1,1,5/29/2009,5/11/2009,11-May,131,6956,29
83,4888.2668,9.5,DY13-06,19,5,2013,DY13-06 30 2 60BON 1,2,5/19/2013,5/9/2013,9-May,129,4184,30
80,4972.0828,9.5,DY13-06,19,5,2013,DY13-06 30 2 60BON 1,2,5/19/2013,5/9/2013,9-May,129,4264,30
79,5188.9567,12.5,DY13-06,19,5,2013,DY13-06 30 2 60BON 1,2,5/19/2013,5/6/2013,6-May,126,4471,30
81,5642.6108,11.5,DY13-06,19,5,2013,DY13-06 30 2 60BON 1,2,5/19/2013,5/7/2013,7-May,127,4904,30
82,5690.805,11,DY13-06,19,5,2013,DY13-06 30 2 60BON 1,2,5/19/2013,5/8/2013,8-May,128,4950,30
175,10866.443,36.33,DY17-05,14,5,2017,DY17-05 31 1 60BON 1,1,5/14/2017,4/7/2017,7-Apr,97,9890,31
178,8840.1912,25,DY17-05,14,5,2017,DY17-05 32 1 60BON 1,1,5/14/2017,4/19/2017,19-Apr,109,7956,32
180,8942.8658,27.67,DY17-05,14,5,2017,DY17-05 32 1 60BON 1,1,5/14/2017,4/16/2017,16-Apr,106,8054,32
176,9263.462,36.67,DY17-05,14,5,2017,DY17-05 32 1 60BON 1,1,5/14/2017,4/7/2017,7-Apr,97,8360,32
177,9982.1842,37,DY17-05,14,5,2017,DY17-05 32 1 60BON 1,1,5/14/2017,4/7/2017,7-Apr,97,9046,32
179,11042.4566,31.33,DY17-05,14,5,2017,DY17-05 32 1 60BON 1,1,5/14/2017,4/12/2017,12-Apr,102,10058,32
160,7490.7536,15,4DY09,30,5,2009,4DY09 39 1 60BON 1,1,5/30/2009,5/15/2009,15-May,135,6668,39
161,8146.6138,11,4DY09,30,5,2009,4DY09 39 1 60BON 1,1,5/30/2009,5/19/2009,19-May,139,7294,39
159,8578.2662,16.5,4DY09,30,5,2009,4DY09 39 1 60BON 1,1,5/30/2009,5/13/2009,13-May,133,7706,39
158,8722.8488,20.33,4DY09,30,5,2009,4DY09 39 1 60BON 1,1,5/30/2009,5/9/2009,9-May,129,7844,39
157,10121.5283,26,4DY09,30,5,2009,4DY09 39 1 60BON 1,1,5/30/2009,5/4/2009,4-May,124,9179,39
74,6290.0894,11,DY13-06,19,5,2013,DY13-06 40 1 60BON 1,1,5/19/2013,5/8/2013,8-May,128,5522,40
76,6744.7912,14.67,DY13-06,19,5,2013,DY13-06 40 1 60BON 1,1,5/19/2013,5/4/2013,4-May,124,5956,40
78,7098.9138,13.5,DY13-06,19,5,2013,DY13-06 40 1 60BON 1,1,5/19/2013,5/5/2013,5-May,125,6294,40
75,8500.7364,17.33,DY13-06,19,5,2013,DY13-06 40 1 60BON 1,1,5/19/2013,5/1/2013,1-May,121,7632,40
77,9565.1996,30.33,DY13-06,19,5,2013,DY13-06 40 1 60BON 1,1,5/19/2013,4/18/2013,18-Apr,108,8648,40
150,6000.9242,11.33,4DY09,30,5,2009,4DY09 46 1 60BON 1,1,5/30/2009,5/18/2009,18-May,138,5246,46
148,6640.0212,9,4DY09,30,5,2009,4DY09 46 1 60BON 1,1,5/30/2009,5/21/2009,21-May,141,5856,46
152,7557.8064,13,4DY09,30,5,2009,4DY09 46 1 60BON 1,1,5/30/2009,5/17/2009,17-May,137,6732,46
151,8864.2883,14,4DY09,30,5,2009,4DY09 46 1 60BON 1,1,5/30/2009,5/16/2009,16-May,136,7979,46
149,9292.7976,15,4DY09,30,5,2009,4DY09 46 1 60BON 1,1,5/30/2009,5/15/2009,15-May,135,8388,46
146,7074.8167,10.5,4DY09,30,5,2009,4DY09 47 1 60BON 1,1,5/30/2009,5/19/2009,19-May,139,6271,47
147,8701.8948,15.67,4DY09,30,5,2009,4DY09 47 1 60BON 1,1,5/30/2009,5/14/2009,14-May,134,7824,47
181,10257.7293,36.33,DY17-05,15,5,2017,DY17-05 48 1 60BON 1,1,5/15/2017,4/8/2017,8-Apr,98,9309,48
182,10717.6696,42.67,DY17-05,15,5,2017,DY17-05 48 1 60BON 1,1,5/15/2017,4/2/2017,2-Apr,92,9748,48
142,6368.6669,9.5,4DY09,30,5,2009,4DY09 49 1 60BON 1,1,5/30/2009,5/20/2009,20-May,140,5597,49
144,6544.6805,12.5,4DY09,30,5,2009,4DY09 49 1 60BON 1,1,5/30/2009,5/17/2009,17-May,137,5765,49
143,7008.8116,12,4DY09,30,5,2009,4DY09 49 1 60BON 1,1,5/30/2009,5/18/2009,18-May,138,6208,49
141,8051.2731,12,4DY09,30,5,2009,4DY09 49 1 60BON 1,1,5/30/2009,5/18/2009,18-May,138,7203,49
145,8382.3463,15.67,4DY09,30,5,2009,4DY09 49 1 60BON 1,1,5/30/2009,5/14/2009,14-May,134,7519,49
69,6303.7095,9.5,DY13-06,20,5,2013,DY13-06 51 1 60BON 1,1,5/20/2013,5/10/2013,10-May,130,5535,51
70,8399.1095,16.5,DY13-06,20,5,2013,DY13-06 51 1 60BON 1,1,5/20/2013,5/3/2013,3-May,123,7535,51
71,8668.3684,13.5,DY13-06,20,5,2013,DY13-06 51 1 60BON 1,1,5/20/2013,5/6/2013,6-May,126,7792,51
72,9448.9049,28,DY13-06,20,5,2013,DY13-06 51 1 60BON 1,1,5/20/2013,4/22/2013,22-Apr,112,8537,51
73,9720.2592,22.5,DY13-06,20,5,2013,DY13-06 51 1 60BON 1,1,5/20/2013,4/27/2013,27-Apr,117,8796,51
186,9627.0139,28.33,DY17-05,17,5,2017,DY17-05 52 1 60BON 1,1,5/17/2017,4/18/2017,18-Apr,108,8707,52
185,10399.1688,35,DY17-05,17,5,2017,DY17-05 52 1 60BON 1,1,5/17/2017,4/12/2017,12-Apr,102,9444,52
